country,country_name,aggregation,data_month,year,month,gas,emissionsQuantity,sector,subsector
VNM,Vietnam,sectors,2021-10,2021,10,co2,5498067.7266345015,forestry-and-land-use,
VNM,Vietnam,sectors,2021-10,2021,10,co2,1349347.5072678046,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-10,2021,10,co2,9532919.683561455,manufacturing,
VNM,Vietnam,sectors,2021-10,2021,10,co2,60002.04315623465,mineral-extraction,
VNM,Vietnam,sectors,2021-10,2021,10,co2,11901891.8223856,power,
VNM,Vietnam,sectors,2021-10,2021,10,co2,2474594.099284297,transportation,
VNM,Vietnam,sectors,2021-10,2021,10,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-11,2021,11,co2,622603.7322164646,agriculture,
VNM,Vietnam,sectors,2021-11,2021,11,co2,1174057.5657300001,buildings,
VNM,Vietnam,sectors,2021-11,2021,11,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-11,2021,11,co2,5501948.082172571,forestry-and-land-use,
VNM,Vietnam,sectors,2021-11,2021,11,co2,1359984.8145049387,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-11,2021,11,co2,9365939.493420564,manufacturing,
VNM,Vietnam,sectors,2021-11,2021,11,co2,63037.02530181017,mineral-extraction,
VNM,Vietnam,sectors,2021-11,2021,11,co2,11375632.83128984,power,
VNM,Vietnam,sectors,2021-11,2021,11,co2,2386250.505540662,transportation,
VNM,Vietnam,sectors,2021-11,2021,11,co2,4108.7681207841615,waste,
VNM,Vietnam,sectors,2021-12,2021,12,co2,515928.2622809237,agriculture,
VNM,Vietnam,sectors,2021-12,2021,12,co2,1321609.59807,buildings,
VNM,Vietnam,sectors,2021-12,2021,12,co2,0.0,fluorinated-gases,
VNM,Vietnam,sectors,2021-12,2021,12,co2,5506178.292165299,forestry-and-land-use,
VNM,Vietnam,sectors,2021-12,2021,12,co2,1349347.5072678046,fossil-fuel-operations,
VNM,Vietnam,sectors,2021-12,2021,12,co2,9017787.44747157,manufacturing,
VNM,Vietnam,sectors,2021-12,2021,12,co2,65356.84142209171,mineral-extraction,
VNM,Vietnam,sectors,2021-12,2021,12,co2,11216060.618303757,power,
VNM,Vietnam,sectors,2021-12,2021,12,co2,2570109.9144112333,transportation,
VNM,Vietnam,sectors,2021-12,2021,12,co2,4108.7681207841615,waste,
VNM,Vietnam,subsectors,2021-01,2021,1,co2,161221.79975065115,manufacturing,aluminum
VNM,Vietnam,subsectors,2021-01,2021,1,co2,4770.4842153176805,mineral-extraction,bauxite-mining
VNM,Vietnam,subsectors,2021-01,2021,1,co2,0.0,waste,biological-treatment-of-solid-waste-and-biogenic
VNM,Vietnam,subsectors,2021-01,2021,1,co2,6072068.619718437,manufacturing,cement
VNM,Vietnam,subsectors,2021-01,2021,1,co2,418412.80621798476,manufacturing,chemicals
VNM,Vietnam,subsectors,2021-01,2021,1,co2,147155.77581991843,fossil-fuel-operations,coal-mining
VNM,Vietnam,subsectors,2021-01,2021,1,co2,27422.104269381314,mineral-extraction,copper-mining
