source_id,country,year,gas,latitude,longitude,sector,subsector,asset_type,source_type,annual_emissions_quantity
5171720,VNM,2026,co2,20.795020000000164,107.0008031110655,forestry-and-land-use,forest-land-degradation,,gadm-aggregation,227051.12590764597
1898128,VNM,2026,co2,21.6999049487929,105.880333459169,manufacturing,cement,integrated dry,point-source,224231.53610136983
2802646,VNM,2026,co2,15.400185,108.791988,transportation,international-shipping,,point-source,222711.90889406888
25451665,VNM,2026,co2,10.0994,105.7181,power,electricity-generation,"gas, oil",point-source,220090.0
32439395,VNM,2026,co2,21.0019991539541,107.254664527976,manufacturing,cement,integrated dry,point-source,219389.25505036052
42547393,VNM,2026,co2,21.3418967403948,105.34491201233,manufacturing,cement,integrated dry,point-source,219182.9654239573
32439363,VNM,2026,co2,21.5673556057919,106.493561630356,manufacturing,cement,integrated dry,point-source,216539.23800700495
5073799,VNM,2026,co2,11.769987583500068,107.22320962487981,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,215229.4435204788
42741863,VNM,2026,co2,10.636835,106.517595,manufacturing,iron-and-steel,IF,point-source,213260.5990269145
5073996,VNM,2026,co2,20.795020000000164,107.0008031110655,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,212202.6577855698
57033661,VNM,2026,co2,10.5734902963014,107.086356578216,manufacturing,chemicals,ammonia,point-source,205717.2510676667
42741865,VNM,2026,co2,21.7388087431238,105.245546731572,manufacturing,iron-and-steel,BF/BOF,point-source,205268.98685336707
5076512,VNM,2026,co2,21.930987358000095,104.57898201893296,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,204028.55198472002
32439389,VNM,2026,co2,10.2726056821686,104.618097332476,manufacturing,cement,integrated dry,point-source,200927.93687581705
42547268,VNM,2026,co2,20.8582875501068,105.59233306094,manufacturing,cement,integrated dry,point-source,196572.5121486438
1898087,VNM,2026,co2,20.4541805374339,105.887081820983,manufacturing,cement,integrated dry,point-source,195383.45866366956
5073931,VNM,2026,co2,22.39421653800011,104.92793081153658,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,192778.300005039
32439377,VNM,2026,co2,21.8413436149638,105.206231808601,manufacturing,cement,integrated dry,point-source,189809.91210851597
32439380,VNM,2026,co2,21.0061812281824,106.543817193619,manufacturing,cement,integrated dry,point-source,185003.18452360583
42547419,VNM,2026,co2,20.5020498465452,105.877015780063,manufacturing,cement,integrated dry,point-source,184113.6909561241
32439397,VNM,2026,co2,21.7480240844653,104.960194976397,manufacturing,cement,integrated dry,point-source,181028.89613917808
32439386,VNM,2026,co2,21.4847708085818,105.155258135048,manufacturing,cement,integrated dry,point-source,180941.4242358904
32439382,VNM,2026,co2,20.7714929358582,105.637718859128,manufacturing,cement,integrated dry,point-source,179102.09697462159
32439398,VNM,2026,co2,18.9364457501817,105.066176182053,manufacturing,cement,integrated dry,point-source,178562.67863406657
32439374,VNM,2026,co2,17.7973121801423,106.266677889998,manufacturing,cement,integrated dry,point-source,175207.6459260548
717023,VNM,2026,co2,10.6608,107.0245,power,electricity-generation,coal,point-source,173310.0
38891226,VNM,2026,co2,10.6197,106.9976,transportation,international-shipping,,point-source,168764.33824122453
